Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cm2),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
1046.9,0.652,0.648,0.641,0.649,0.642,3.232,0.70442,70.442,27.849,40.702,42.151,51.597,53.226,55.483,1296.232,1266.017,1295.282,1282.407,4.797,2.111,23.036,21.198,1.984,49.753
1046.908406,0.652,0.647,0.641,0.649,0.642,3.231,0.70447,70.447,27.859,40.532,42.2,51.538,53.781,55.371,1298.279,1267.041,1298.19,1285.312,4.797,2.047,23.038,21.187,1.986,50.262
1046.916783,0.652,0.648,0.641,0.649,0.642,3.232,0.70447,70.447,27.855,40.499,42.302,51.59,53.778,55.412,1305.617,1275.975,1302.639,1289.983,4.793,2.068,23.038,20.722,1.986,50.295
1046.925187,0.653,0.649,0.642,0.65,0.642,3.236,0.70447,70.447,27.858,40.755,42.36,51.634,53.839,55.444,1302.773,1272.106,1305.775,1293.685,4.795,2.091,23.036,21.192,1.989,50.129
1046.933558,0.653,0.648,0.641,0.649,0.641,3.232,0.70447,70.447,27.859,41.109,42.362,51.666,53.874,55.508,1300.953,1270.398,1299.16,1286.565,4.796,2.148,23.034,21.134,1.989,50.039
1046.941966,0.653,0.648,0.642,0.65,0.642,3.235,0.70447,70.447,27.867,40.987,42.371,51.586,53.791,55.399,1303.171,1271.992,1295.339,1282.92,4.815,2.129,23.036,21.189,1.985,50.169
1046.950356,0.653,0.647,0.642,0.649,0.642,3.233,0.70452,70.452,27.867,40.856,42.316,51.613,53.806,55.458,1301.522,1271.593,1296.594,1283.49,4.796,2.046,23.038,21.189,1.986,49.905
1046.958747,0.654,0.649,0.643,0.65,0.643,3.239,0.70447,70.447,27.856,40.785,42.261,51.613,53.869,55.467,1304.138,1272.276,1301.783,1289.641,4.796,2.068,23.036,21.189,1.989,49.908
1046.967117,0.654,0.648,0.642,0.65,0.643,3.237,0.70447,70.447,27.853,40.73,42.243,51.583,53.759,55.372,1302.261,1270.854,1305.718,1293.002,4.796,2.068,23.036,21.194,1.984,50.204
1046.975508,0.655,0.648,0.643,0.651,0.643,3.24,0.70437,70.437,27.855,40.73,42.243,51.601,53.832,55.478,1302.659,1270.854,1300.357,1287.932,4.796,2.149,23.036,21.156,1.986,49.917
1046.983915,0.652,0.646,0.64,0.649,0.641,3.228,0.70442,70.442,27.856,40.745,42.189,51.512,53.395,55.048,1301.18,1270.512,1296.822,1284.059,4.795,2.129,23.036,21.118,1.985,50.748
1046.992304,0.653,0.647,0.642,0.65,0.642,3.234,0.70442,70.442,27.861,41.026,42.198,51.575,53.753,55.379,1302.716,1271.878,1295.111,1282.578,4.811,2.112,23.036,21.196,1.985,50.081
1047.000677,0.654,0.649,0.642,0.651,0.643,3.239,0.70442,70.442,27.852,40.888,42.255,51.553,53.75,55.393,1300.27,1269.203,1298.59,1286.224,4.794,2.027,23.036,21.134,1.985,50.126
1047.009084,0.653,0.648,0.641,0.65,0.642,3.234,0.70447,70.447,27.862,41.163,42.273,51.598,53.818,55.453,1301.977,1271.252,1304.635,1292.945,4.794,2.046,23.036,21.189,1.986,49.866
1047.017457,0.654,0.648,0.641,0.65,0.642,3.235,0.70442,70.442,27.862,41.107,42.296,51.652,53.86,55.503,1297.654,1266.87,1302.467,1290.61,4.795,2.15,23.038,21.196,1.985,49.962
1047.025863,0.653,0.647,0.641,0.649,0.642,3.232,0.70452,70.452,27.856,41.047,42.327,51.59,53.78,55.408,1296.8,1266.187,1298.019,1285.654,4.795,2.112,23.039,21.128,1.984,49.963
1047.034236,0.653,0.648,0.641,0.65,0.642,3.234,0.70437,70.437,27.847,40.934,42.287,51.622,53.818,55.479,1296.402,1266.472,1296.479,1283.547,4.795,2.11,23.036,21.122,1.985,49.925
1047.042643,0.654,0.648,0.642,0.649,0.642,3.235,0.70447,70.447,27.85,41.157,42.244,51.66,53.883,55.52,1298.393,1267.724,1295.282,1282.066,4.797,2.09,23.036,21.13,1.984,49.582
1047.051033,0.653,0.647,0.641,0.649,0.641,3.231,0.70447,70.447,27.864,40.981,42.192,51.503,53.759,55.331,1297.426,1267.951,1297.734,1284.572,4.816,2.069,23.036,21.139,1.984,50.308
1047.059422,0.653,0.648,0.642,0.65,0.642,3.235,0.70442,70.442,27.858,40.853,42.192,51.559,53.706,55.375,1299.701,1269.033,1300.186,1287.534,4.802,2.064,23.036,21.139,1.985,49.988
1047.067793,0.653,0.647,0.642,0.649,0.641,3.232,0.70447,70.447,27.838,40.739,42.154,51.595,53.791,55.422,1299.246,1268.805,1304.178,1290.667,4.795,2.069,23.038,21.13,1.985,50.08
1047.076183,0.654,0.648,0.641,0.649,0.642,3.234,0.70442,70.442,27.859,40.674,42.226,51.636,53.827,55.478,1299.189,1267.496,1305.49,1291.749,4.795,2.13,23.036,21.134,1.986,50.146
1047.084591,0.653,0.647,0.641,0.649,0.641,3.231,0.70447,70.447,27.855,40.918,42.311,51.55,53.743,55.348,1298.962,1268.179,1297.905,1285.426,4.793,2.148,23.038,21.128,1.984,50.393
1047.092981,0.653,0.648,0.642,0.649,0.642,3.234,0.70447,70.447,27.862,40.739,42.34,51.589,53.809,55.47,1299.189,1268.862,1294.312,1281.724,4.797,2.108,23.036,21.187,1.984,50.135
1047.101354,0.654,0.648,0.643,0.65,0.642,3.237,0.70452,70.452,27.855,40.668,42.325,51.5,53.587,55.195,1303.683,1273.244,1299.901,1286.679,4.794,2.046,23.036,21.189,1.982,50.63
1047.109761,0.653,0.647,0.641,0.649,0.641,3.231,0.70452,70.452,27.853,40.589,42.261,51.582,53.752,55.41,1298.336,1268.293,1304.521,1291.122,4.796,2.068,23.036,20.987,1.984,50.027
1047.118141,0.654,0.648,0.643,0.65,0.642,3.237,0.70447,70.447,27.847,40.954,42.272,51.58,53.77,55.414,1300.327,1268.862,1302.467,1290.154,4.797,2.156,23.038,21.329,1.987,50.144
1047.126522,0.653,0.647,0.642,0.649,0.642,3.233,0.70452,70.452,27.855,40.855,42.246,51.609,53.82,55.454,1302.489,1271.935,1297.848,1285.255,4.796,2.128,23.038,21.183,1.988,49.968
1047.134911,0.652,0.647,0.641,0.649,0.641,3.23,0.70437,70.437,27.841,40.739,42.204,51.583,53.159,55.245,1302.034,1271.707,1294.312,1282.123,4.795,2.117,23.036,21.126,1.986,50.286
1047.143301,0.654,0.649,0.644,0.651,0.643,3.241,0.70447,70.447,27.853,40.641,42.165,51.559,53.759,55.393,1303.569,1271.935,1299.958,1287.477,4.795,2.046,23.038,21.194,1.986,50.092
