fREQUENCY/hZ;r/oHM;i/oHM;;;;;
10000.0;0.0045843;-0.0059528;;;;;
8915.3;0.0045874;-0.0052866;;;;;
7948.3;0.0045868;-0.0046886;;;;;
7086.2;0.004576;-0.0041582;;;;;
6317.6;0.0045775;-0.0036726;;;;;
5632.3;0.0045858;-0.0032575;;;;;
5021.4;0.0045854;-0.0028651;;;;;
4476.8;0.0045959;-0.002512;;;;;
3991.2;0.0046042;-0.002196;;;;;
3558.3;0.0046172;-0.0019079;;;;;
3172.3;0.004622;-0.0016531;;;;;
2828.2;0.0046387;-0.0014266;;;;;
2521.5;0.0046511;-0.0012137;;;;;
2248.0;0.0046698;-0.0010182;;;;;
2004.2;0.0046834;-0.00083467;;;;;
1786.8;0.0046931;-0.0006731;;;;;
1593.0;0.0047106;-0.00051959;;;;;
1420.2;0.0047598;-0.00036213;;;;;
1266.1;0.0047517;-0.00025491;;;;;
1128.8;0.0047799;-0.00012887;;;;;
1006.4;0.0048007;0.000013452;;;;;
897.21;0.0047638;0.00016954;;;;;
799.9;0.0048073;0.00027069;;;;;
713.14;0.0048387;0.00036911;;;;;
635.78;0.0048747;0.00047622;;;;;
566.82;0.0049142;0.00057976;;;;;
505.34;0.0049515;0.00068998;;;;;
450.53;0.0049972;0.00079835;;;;;
401.66;0.0050432;0.00089782;;;;;
358.1;0.0050913;0.0010154;;;;;
319.26;0.0051446;0.0011334;;;;;
284.63;0.0051997;0.0012579;;;;;
253.75;0.0052684;0.0013951;;;;;
226.23;0.0053242;0.00156;;;;;
201.69;0.0054109;0.0016933;;;;;
179.82;0.0054782;0.0018596;;;;;
160.31;0.005601;0.0020303;;;;;
142.92;0.0056701;0.0022026;;;;;
127.42;0.0058134;0.0024155;;;;;
113.6;0.0059249;0.0026185;;;;;
101.28;0.006089;0.0028688;;;;;
90.293;0.006225;0.003145;;;;;
80.499;0.0064576;0.0033659;;;;;
71.768;0.0066809;0.003683;;;;;
64.001;0.0069741;0.0039316;;;;;
56.925;0.0073783;0.0042972;;;;;
50.492;0.0077272;0.0046183;;;;;
44.655;0.0081655;0.0049049;;;;;
39.372;0.008647;0.005282;;;;;
34.601;0.0092065;0.0055635;;;;;
30.303;0.0098186;0.0057916;;;;;
26.442;0.010572;0.0060598;;;;;
22.983;0.011258;0.0061782;;;;;
19.894;0.012109;0.006315;;;;;
17.144;0.012965;0.0062726;;;;;
14.704;0.013904;0.0062462;;;;;
12.547;0.014692;0.0060894;;;;;
10.648;0.015485;0.0057742;;;;;
8.9835;0.016198;0.0054124;;;;;
7.5313;0.01683;0.0049211;;;;;
6.2707;0.017507;0.0044641;;;;;
5.1825;0.017953;0.004247;;;;;
4.2488;0.018473;0.0038471;;;;;
3.4529;0.018807;0.0034891;;;;;
2.7795;0.019117;0.0032134;;;;;
2.2144;0.019279;0.0030027;;;;;
1.7444;0.019597;0.0028674;;;;;
1.3574;0.020048;0.0028418;;;;;
1.0423;0.020599;0.0030233;;;;;
0.78908;0.021236;0.0027416;;;;;
0.58836;0.021799;0.0025217;;;;;
0.43177;0.02234;0.0021517;;;;;
0.31175;0.022663;0.001704;;;;;
0.22152;0.023154;0.0014313;;;;;
0.15507;0.022824;0.00070989;;;;;
0.10718;0.022887;0.00042943;;;;;
0.07339;0.022866;0.0002974;;;;;
0.05;0.022799;0.00012359;;;;;
