fREQUENCY/hZ;r/oHM;i/oHM;;;
10000.0;0.0045957;-0.0068624;;;
8915.3;0.0046088;-0.0060763;;;
7948.3;0.0046222;-0.0053859;;;
7086.2;0.0046223;-0.0047828;;;
6317.6;0.0046168;-0.0042483;;;
5632.3;0.0046211;-0.0037499;;;
5021.4;0.004621;-0.0032978;;;
4476.8;0.004626;-0.0029141;;;
3991.2;0.0046354;-0.0025498;;;
3558.3;0.0046481;-0.002225;;;
3172.3;0.0046581;-0.0019326;;;
2828.2;0.0046738;-0.001668;;;
2521.5;0.0046882;-0.0014218;;;
2248.0;0.0047071;-0.0012124;;;
2004.2;0.0047252;-0.0010096;;;
1786.8;0.0047434;-0.00082862;;;
1593.;0.0047591;-0.00066927;;;
1420.2;0.0048027;-0.00050063;;;
1266.1;0.0048097;-0.00036089;;;
1128.8;0.0048304;-0.00021954;;;
1006.4;0.0048578;-0.000076675;;;
897.21;0.0048302;0.000086585;;;
799.9;0.004862;0.00019994;;;
713.14;0.0049057;0.00031011;;;
635.78;0.0049439;0.00041709;;;
566.82;0.0049802;0.00052192;;;
505.34;0.0050269;0.00063228;;;
450.53;0.0050687;0.000738;;;
401.66;0.0051205;0.00084259;;;
358.1;0.0051744;0.00096008;;;
319.26;0.0052448;0.0010749;;;
284.63;0.0052907;0.001201;;;
253.75;0.0053726;0.0013406;;;
226.23;0.0054436;0.0014819;;;
201.69;0.0055393;0.0016412;;;
179.82;0.0056391;0.0017697;;;
160.31;0.0057269;0.0019418;;;
142.92;0.0058926;0.0021246;;;
127.42;0.0060299;0.0022825;;;
113.6;0.0061755;0.0024754;;;
101.28;0.0063721;0.0026955;;;
90.293;0.0065627;0.0028639;;;
80.499;0.0068148;0.0030753;;;
71.768;0.0070988;0.0032387;;;
64.001;0.0074088;0.0033683;;;
56.925;0.0078617;0.0035825;;;
50.492;0.0081926;0.0036867;;;
44.655;0.00866;0.0038283;;;
39.372;0.0090596;0.0039256;;;
34.601;0.0094788;0.0040058;;;
30.303;0.0099854;0.0040014;;;
26.442;0.010368;0.0039543;;;
22.983;0.010861;0.0038824;;;
19.894;0.011308;0.0038274;;;
17.144;0.011749;0.0037591;;;
14.704;0.012129;0.0036287;;;
12.547;0.012545;0.0033659;;;
10.648;0.012895;0.003311;;;
8.9835;0.013232;0.0031483;;;
7.5313;0.013653;0.0029834;;;
6.2707;0.013937;0.00271;;;
5.1825;0.014106;0.0026611;;;
4.2488;0.014374;0.0025679;;;
3.4529;0.014769;0.0027248;;;
2.7795;0.015153;0.0025291;;;
2.2144;0.015643;0.0026411;;;
1.7444;0.01618;0.0024275;;;
1.3574;0.016632;0.0020832;;;
1.0423;0.01707;0.0018516;;;
0.78908;0.017302;0.0013044;;;
0.58836;0.017426;0.00098843;;;
0.43177;0.017578;0.00062427;;;
0.31175;0.017459;0.00035171;;;
0.22152;0.017331;0.00019907;;;
0.15507;0.017273;-0.000091469;;;
0.10718;0.017126;-0.00012836;;;
0.07339;0.017303;-0.00014523;;;
0.05;0.016767;-0.00036149;;;
