fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0044383;-0.006214
8915.3;0.0044232;-0.0055138
7948.3;0.0044135;-0.0048994
7086.2;0.0044039;-0.0043418
6317.6;0.0044019;-0.003844
5632.3;0.004397;-0.0034005
5021.4;0.0043942;-0.0029998
4476.8;0.0043993;-0.0026377
3991.2;0.0044033;-0.0023115
3558.3;0.0044099;-0.0020202
3172.3;0.004418;-0.0017538
2828.2;0.0044292;-0.0015154
2521.5;0.0044397;-0.001298
2248.0;0.0044531;-0.0011014
2004.2;0.0044679;-0.00092031
1786.8;0.0044862;-0.00075394
1593.0;0.0045031;-0.00060131
1420.2;0.0045223;-0.00046364
1266.1;0.004543;-0.0003289
1128.8;0.0045666;-0.00020636
1006.4;0.0045919;-0.000068782
897.21;0.004615;0.000074712
799.9;0.0046439;0.0001755
713.14;0.0046735;0.00027521
635.78;0.0047092;0.00037214
566.82;0.0047481;0.0004693
505.34;0.0047888;0.00058107
450.53;0.0048279;0.00067561
401.66;0.0048813;0.00077602
358.1;0.0049356;0.00088273
319.26;0.0049984;0.00097957
284.63;0.0050598;0.0010998
253.75;0.005134;0.0012226
226.23;0.0052047;0.0013552
201.69;0.005297;0.0014816
179.82;0.0054004;0.00161
160.31;0.0055102;0.0017471
142.92;0.0056352;0.0018839
127.42;0.0057732;0.0020266
113.6;0.0059263;0.0022227
101.28;0.006092;0.0023319
90.293;0.0062856;0.0024677
80.499;0.0065013;0.0026059
71.768;0.006703;0.0027455
64.001;0.0070045;0.0028581
56.925;0.0073965;0.0029791
50.492;0.0076832;0.0030798
44.655;0.0080101;0.0031605
39.372;0.0082925;0.0032734
34.601;0.0086841;0.0032538
30.303;0.0090276;0.0032658
26.442;0.0093775;0.0032688
22.983;0.0097371;0.0032208
19.894;0.010053;0.0031898
17.144;0.010401;0.003145
14.704;0.010732;0.0030799
12.547;0.011024;0.0029928
10.648;0.011381;0.0029218
8.9835;0.011675;0.002849
7.5313;0.011961;0.002813
6.2707;0.012254;0.0027429
5.1825;0.012446;0.0026967
4.2488;0.012925;0.0027842
3.4529;0.013364;0.0027899
2.7795;0.013955;0.002665
2.2144;0.014322;0.0024799
1.7444;0.014857;0.0022354
1.3574;0.01529;0.0017679
1.0423;0.015559;0.0013997
0.78908;0.01572;0.0010081
0.58836;0.015755;0.00068174
0.43177;0.015763;0.00043719
0.31175;0.015778;0.00021748
0.22152;0.015707;-0.000017434
0.15507;0.015696;-0.0001228
0.10718;0.015548;-0.00023498
0.07339;0.015459;-0.00031461
0.05;0.015357;-0.00035923
