fREQUENCY/hZ;r/oHM;i/oHM;;;;;;;;
10000.0;0.0045438;-0.0067799;;;;;;;;
8915.3;0.0045402;-0.0060257;;;;;;;;
7948.3;0.0045341;-0.005347;;;;;;;;
7086.2;0.0045289;-0.0047405;;;;;;;;
6317.6;0.0045288;-0.0042021;;;;;;;;
5632.3;0.0045282;-0.0037181;;;;;;;;
5021.4;0.0045335;-0.0032812;;;;;;;;
4476.8;0.0045398;-0.0028868;;;;;;;;
3991.2;0.0045449;-0.0025334;;;;;;;;
3558.3;0.0045522;-0.002216;;;;;;;;
3172.3;0.0045629;-0.0019277;;;;;;;;
2828.2;0.0045753;-0.0016673;;;;;;;;
2521.5;0.0045883;-0.0014302;;;;;;;;
2248.0;0.0046024;-0.0012154;;;;;;;;
2004.2;0.0046204;-0.00102;;;;;;;;
1786.8;0.0046374;-0.00083762;;;;;;;;
1593.0;0.0046559;-0.00067389;;;;;;;;
1420.2;0.0046779;-0.00051761;;;;;;;;
1266.1;0.0046985;-0.00038034;;;;;;;;
1128.8;0.0047231;-0.00024774;;;;;;;;
1006.4;0.0047477;-0.00010105;;;;;;;;
897.21;0.0047697;0.000047278;;;;;;;;
799.9;0.004803;0.00015868;;;;;;;;
713.14;0.004835;0.00026464;;;;;;;;
635.78;0.004872;0.00036915;;;;;;;;
566.82;0.0049102;0.00047383;;;;;;;;
505.34;0.0049519;0.00057896;;;;;;;;
450.53;0.0049959;0.00068338;;;;;;;;
401.66;0.0050459;0.00079174;;;;;;;;
358.1;0.0050999;0.00090048;;;;;;;;
319.26;0.0051575;0.001013;;;;;;;;
284.63;0.0052194;0.0011311;;;;;;;;
253.75;0.0052879;0.0012555;;;;;;;;
226.23;0.0053568;0.0014;;;;;;;;
201.69;0.005441;0.0015361;;;;;;;;
179.82;0.0055364;0.0016806;;;;;;;;
160.31;0.0056444;0.0018274;;;;;;;;
142.92;0.0057644;0.0019821;;;;;;;;
127.42;0.005904;0.0021476;;;;;;;;
113.6;0.0060559;0.0023294;;;;;;;;
101.28;0.0062217;0.0024928;;;;;;;;
90.293;0.0064233;0.0026682;;;;;;;;
80.499;0.0066356;0.0028382;;;;;;;;
71.768;0.0068769;0.00302;;;;;;;;
64.001;0.0071742;0.0031643;;;;;;;;
56.925;0.0075812;0.0033362;;;;;;;;
50.492;0.0078892;0.0034871;;;;;;;;
44.655;0.0082447;0.0036041;;;;;;;;
39.372;0.0086192;0.0037154;;;;;;;;
34.601;0.0090141;0.0038005;;;;;;;;
30.303;0.0094194;0.0038426;;;;;;;;
26.442;0.0098351;0.0038732;;;;;;;;
22.983;0.010255;0.0038715;;;;;;;;
19.894;0.010678;0.0038546;;;;;;;;
17.144;0.011103;0.0038359;;;;;;;;
14.704;0.011528;0.003771;;;;;;;;
12.547;0.011956;0.0036988;;;;;;;;
10.648;0.012376;0.0036103;;;;;;;;
8.9835;0.012763;0.0035193;;;;;;;;
7.5313;0.013091;0.0034007;;;;;;;;
6.2707;0.013438;0.0033692;;;;;;;;
5.1825;0.013854;0.003376;;;;;;;;
4.2488;0.014293;0.0034441;;;;;;;;
3.4529;0.014877;0.0033706;;;;;;;;
2.7795;0.015505;0.0032721;;;;;;;;
2.2144;0.016166;0.0030084;;;;;;;;
1.7444;0.016725;0.0026499;;;;;;;;
1.3574;0.017207;0.0021925;;;;;;;;
1.0423;0.017516;0.0016909;;;;;;;;
0.78908;0.017656;0.001218;;;;;;;;
0.58836;0.017738;0.00086419;;;;;;;;
0.43177;0.017856;0.00050821;;;;;;;;
0.31175;0.017815;0.000253;;;;;;;;
0.22152;0.017682;0.000024293;;;;;;;;
0.15507;0.017677;-0.00013923;;;;;;;;
0.10718;0.017565;-0.00023821;;;;;;;;
0.07339;0.017409;-0.00031444;;;;;;;;
0.05;0.017301;-0.00031022;;;;;;;;
