U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm²)
0.603;0.598;0.593;0.594;0.59;2.912;100.244;1.00244
0.602;0.598;0.592;0.593;0.59;2.911;100.239;1.00239
0.603;0.598;0.593;0.594;0.59;2.912;100.215;1.00215
0.604;0.599;0.593;0.594;0.591;2.915;100.234;1.00234
0.603;0.598;0.593;0.594;0.59;2.914;100.234;1.00234
0.603;0.599;0.593;0.594;0.591;2.916;100.244;1.00244
0.604;0.599;0.594;0.595;0.591;2.918;100.239;1.00239
0.604;0.599;0.594;0.595;0.592;2.918;100.244;1.00244
0.603;0.599;0.593;0.594;0.591;2.918;100.239;1.00239
0.604;0.599;0.594;0.595;0.592;2.918;100.244;1.00244
0.604;0.599;0.594;0.595;0.592;2.919;100.244;1.00244
0.605;0.6;0.594;0.596;0.592;2.921;100.239;1.00239
0.604;0.599;0.594;0.595;0.591;2.919;100.244;1.00244
0.603;0.599;0.593;0.595;0.591;2.92;100.244;1.00244
0.604;0.599;0.595;0.596;0.592;2.922;100.244;1.00244
0.604;0.599;0.594;0.596;0.592;2.922;100.244;1.00244
0.604;0.6;0.595;0.597;0.592;2.922;100.244;1.00244
0.604;0.6;0.594;0.596;0.592;2.924;100.244;1.00244
0.605;0.6;0.595;0.597;0.592;2.923;100.239;1.00239
0.605;0.6;0.595;0.597;0.593;2.925;100.249;1.00249
0.605;0.6;0.595;0.597;0.593;2.924;100.244;1.00244
0.605;0.6;0.595;0.596;0.592;2.923;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.926;100.229;1.00229
0.605;0.6;0.595;0.597;0.592;2.927;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.927;100.244;1.00244
0.605;0.601;0.595;0.597;0.593;2.928;100.244;1.00244
0.605;0.6;0.595;0.597;0.593;2.928;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.928;100.244;1.00244
0.606;0.601;0.595;0.597;0.593;2.927;100.244;1.00244
0.607;0.601;0.596;0.597;0.593;2.929;100.239;1.00239
0.606;0.601;0.595;0.597;0.593;2.927;100.244;1.00244
0.606;0.601;0.595;0.597;0.593;2.927;100.249;1.00249
0.606;0.601;0.596;0.597;0.593;2.927;100.249;1.00249
0.606;0.6;0.595;0.597;0.593;2.927;100.244;1.00244
0.606;0.601;0.596;0.597;0.593;2.928;100.239;1.00239
0.606;0.6;0.595;0.597;0.593;2.928;100.249;1.00249
