U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.589;0.583;0.579;0.574;0.563;2.888;100.219;1.00219
0.59;0.583;0.579;0.574;0.563;2.889;100.185;1.00185
0.59;0.583;0.58;0.574;0.563;2.89;100.151;1.00151
0.591;0.584;0.58;0.576;0.564;2.895;100.146;1.00146
0.59;0.584;0.58;0.575;0.564;2.893;100.146;1.00146
0.591;0.584;0.581;0.576;0.565;2.897;100.136;1.00136
0.591;0.584;0.58;0.575;0.564;2.894;100.088;1.00088
0.592;0.585;0.582;0.577;0.566;2.902;100.048;1.00048
0.592;0.585;0.581;0.576;0.565;2.899;100.048;1.00048
0.592;0.586;0.582;0.577;0.566;2.903;100.044;1.00044
0.591;0.585;0.582;0.577;0.566;2.901;100.024;1.00024
0.593;0.586;0.583;0.578;0.567;2.907;100.005;1.00005
0.592;0.585;0.582;0.577;0.566;2.902;99.965;0.99965
0.592;0.586;0.583;0.578;0.566;2.905;99.951;0.99951
0.593;0.586;0.582;0.578;0.566;2.905;99.951;0.99951
0.593;0.586;0.583;0.578;0.567;2.907;99.946;0.99946
0.593;0.586;0.583;0.578;0.566;2.906;99.907;0.99907
0.593;0.586;0.583;0.578;0.567;2.907;99.892;0.99892
0.593;0.586;0.583;0.578;0.567;2.907;99.858;0.99858
0.593;0.586;0.582;0.578;0.567;2.906;99.843;0.99843
0.593;0.586;0.583;0.578;0.567;2.907;99.809;0.99809
0.593;0.586;0.583;0.578;0.567;2.907;99.804;0.99804
0.593;0.586;0.582;0.578;0.567;2.906;99.775;0.99775
0.593;0.586;0.583;0.578;0.567;2.907;99.76;0.9976
0.593;0.586;0.583;0.578;0.567;2.907;99.751;0.99751
0.594;0.587;0.583;0.579;0.567;2.91;99.711;0.99711
0.593;0.586;0.583;0.578;0.567;2.907;99.692;0.99692
0.594;0.587;0.584;0.579;0.568;2.912;99.658;0.99658
0.593;0.587;0.583;0.578;0.567;2.908;99.658;0.99658
0.594;0.587;0.584;0.579;0.568;2.912;99.658;0.99658
0.594;0.586;0.583;0.578;0.567;2.908;99.614;0.99614
0.594;0.587;0.584;0.579;0.568;2.912;99.599;0.99599
0.594;0.587;0.584;0.579;0.568;2.912;99.604;0.99604
0.594;0.586;0.584;0.579;0.568;2.911;99.565;0.99565
0.594;0.587;0.584;0.579;0.568;2.912;99.555;0.99555
0.594;0.587;0.584;0.579;0.568;2.912;99.55;0.9955
0.594;0.587;0.584;0.579;0.568;2.912;99.487;0.99487
0.594;0.587;0.583;0.579;0.568;2.911;99.462;0.99462
0.595;0.587;0.584;0.579;0.568;2.913;99.462;0.99462
0.594;0.587;0.584;0.579;0.568;2.912;99.453;0.99453
0.594;0.587;0.584;0.579;0.568;2.912;99.418;0.99418
0.595;0.588;0.585;0.58;0.569;2.917;99.404;0.99404
0.595;0.588;0.585;0.58;0.569;2.917;99.399;0.99399
0.594;0.587;0.584;0.579;0.568;2.912;99.36;0.9936
0.595;0.589;0.585;0.58;0.569;2.918;99.36;0.9936
0.595;0.588;0.584;0.579;0.569;2.915;99.311;0.99311
0.595;0.588;0.585;0.58;0.569;2.917;99.287;0.99287
0.595;0.588;0.585;0.58;0.568;2.916;99.267;0.99267
0.596;0.589;0.585;0.58;0.57;2.92;99.262;0.99262
0.596;0.588;0.585;0.58;0.569;2.918;99.243;0.99243
0.596;0.589;0.585;0.581;0.57;2.921;99.213;0.99213
0.595;0.588;0.584;0.58;0.569;2.916;99.199;0.99199
0.597;0.589;0.585;0.581;0.57;2.922;99.174;0.99174
0.596;0.588;0.585;0.58;0.569;2.918;99.169;0.99169
0.596;0.588;0.585;0.58;0.569;2.918;99.164;0.99164
0.597;0.589;0.586;0.581;0.57;2.923;99.116;0.99116
0.597;0.589;0.586;0.581;0.57;2.923;99.077;0.99077
0.597;0.589;0.586;0.581;0.57;2.923;99.072;0.99072
0.596;0.589;0.585;0.581;0.57;2.921;99.067;0.99067
0.596;0.589;0.585;0.581;0.569;2.92;99.062;0.99062
0.597;0.589;0.586;0.581;0.57;2.923;99.008;0.99008
0.597;0.59;0.586;0.581;0.57;2.924;99.003;0.99003
0.596;0.589;0.585;0.58;0.569;2.919;98.969;0.98969
0.597;0.59;0.587;0.582;0.571;2.927;98.974;0.98974
0.597;0.59;0.586;0.582;0.57;2.925;98.954;0.98954
0.597;0.59;0.586;0.581;0.57;2.924;98.901;0.98901
0.597;0.59;0.586;0.581;0.57;2.924;98.891;0.98891
0.597;0.59;0.587;0.582;0.57;2.926;98.876;0.98876
0.597;0.59;0.586;0.581;0.57;2.924;98.876;0.98876
0.598;0.59;0.587;0.582;0.571;2.928;98.847;0.98847
0.597;0.59;0.587;0.581;0.57;2.925;98.813;0.98813
0.597;0.59;0.587;0.581;0.57;2.925;98.798;0.98798
0.598;0.59;0.587;0.582;0.57;2.927;98.774;0.98774
0.598;0.59;0.587;0.582;0.571;2.928;98.764;0.98764
0.598;0.59;0.587;0.582;0.571;2.928;98.71;0.9871
0.598;0.59;0.587;0.581;0.57;2.926;98.71;0.9871
0.598;0.59;0.587;0.582;0.571;2.928;98.696;0.98696
0.598;0.591;0.587;0.582;0.571;2.929;98.676;0.98676
0.598;0.591;0.587;0.582;0.571;2.929;98.666;0.98666
0.598;0.59;0.587;0.582;0.571;2.928;98.617;0.98617
0.598;0.59;0.587;0.582;0.57;2.927;98.598;0.98598
0.598;0.59;0.587;0.582;0.571;2.928;98.622;0.98622
0.597;0.59;0.586;0.581;0.57;2.924;98.588;0.98588
0.599;0.591;0.588;0.583;0.572;2.933;98.574;0.98574
0.598;0.59;0.587;0.582;0.571;2.928;98.52;0.9852
0.599;0.591;0.588;0.583;0.572;2.933;98.53;0.9853
0.598;0.59;0.587;0.582;0.571;2.928;98.52;0.9852
0.598;0.591;0.587;0.583;0.571;2.93;98.49;0.9849
0.598;0.591;0.588;0.583;0.572;2.932;98.466;0.98466
0.598;0.59;0.587;0.582;0.571;2.928;98.412;0.98412
0.598;0.591;0.588;0.583;0.572;2.932;98.398;0.98398
0.598;0.591;0.588;0.583;0.572;2.932;98.388;0.98388
0.598;0.591;0.588;0.583;0.572;2.932;98.388;0.98388
0.598;0.591;0.587;0.583;0.571;2.93;98.378;0.98378
0.598;0.591;0.588;0.583;0.572;2.932;98.31;0.9831
0.598;0.591;0.588;0.583;0.571;2.931;98.305;0.98305
0.598;0.591;0.588;0.583;0.572;2.932;98.3;0.983
0.598;0.59;0.587;0.583;0.572;2.93;98.285;0.98285
0.599;0.591;0.588;0.583;0.572;2.933;98.271;0.98271
0.598;0.591;0.588;0.583;0.572;2.932;98.227;0.98227
0.598;0.591;0.587;0.583;0.571;2.93;98.207;0.98207
0.599;0.591;0.588;0.583;0.572;2.933;98.193;0.98193
0.599;0.592;0.588;0.584;0.572;2.935;98.188;0.98188
0.599;0.591;0.588;0.583;0.572;2.933;98.173;0.98173
0.599;0.592;0.588;0.583;0.572;2.934;98.134;0.98134
0.599;0.591;0.588;0.583;0.572;2.933;98.1;0.981
0.599;0.591;0.588;0.583;0.572;2.933;98.095;0.98095
